T26,Population employed in research and development (R&D),,,,,
508,Mozambique,2015,R & D personnel: Technicians - women (number in full-time equivalent),217,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),435,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
508,Mozambique,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),144,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
104,Myanmar,2002,R & D personnel: Total (number in full-time equivalent),"7,418",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
104,Myanmar,2002,R & D personnel: Researchers - total (number in full-time equivalent),837,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
104,Myanmar,2002,R & D personnel: Technicians - total (number in full-time equivalent),"6,499",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
104,Myanmar,2002,R & D personnel: Other supporting staff - total (number in full-time equivalent),82,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2010,R & D personnel: Total (number in full-time equivalent),949,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2010,R & D personnel: Researchers - total (number in full-time equivalent),748,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2010,R & D personnel: Researchers - women (number in full-time equivalent),327,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2010,R & D personnel: Technicians - total (number in full-time equivalent),118,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),83,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),41,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2014,R & D personnel: Total (number in full-time equivalent),"1,132",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2014,R & D personnel: Researchers - total (number in full-time equivalent),749,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2014,R & D personnel: Researchers - women (number in full-time equivalent),290,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2014,R & D personnel: Technicians - total (number in full-time equivalent),255,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2014,R & D personnel: Technicians - women (number in full-time equivalent),95,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),128,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
516,Namibia,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),79,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
520,Nauru,2003,R & D personnel: Total (number in full-time equivalent),77,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
520,Nauru,2003,R & D personnel: Researchers - total (number in full-time equivalent),19,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
520,Nauru,2003,R & D personnel: Researchers - women (number in full-time equivalent),3,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
520,Nauru,2003,R & D personnel: Technicians - total (number in full-time equivalent),18,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
520,Nauru,2003,R & D personnel: Other supporting staff - total (number in full-time equivalent),36,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
524,Nepal,2002,R & D personnel: Total (number in full-time equivalent),"13,500",Estimate.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
524,Nepal,2002,R & D personnel: Researchers - total (number in full-time equivalent),"3,000",Estimate.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
