T04,International migrants and refugees,,,,,
454,Malawi,2017,International migrant stock: Both sexes (% total population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2017,International migrant stock: Male (% total Population),1.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2017,International migrant stock: Female (% total Population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
454,Malawi,2017,Total refugees and people in refugee-like situations (number),"8,904",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2017,"Asylum seekers, including pending cases (number)","23,066",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2017,Other of concern to UNHCR (number),395,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
454,Malawi,2017,Total population of concern to UNHCR (number),"32,365",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2005,International migrant stock: Both sexes (number),"1,722,344",Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2005,International migrant stock: Both sexes (% total population),6.7,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2005,International migrant stock: Male (% total Population),7.6,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2005,International migrant stock: Female (% total Population),5.8,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2005,Total refugees and people in refugee-like situations (number),"33,693",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2005,"Asylum seekers, including pending cases (number)","10,838",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2005,Other of concern to UNHCR (number),"61,555",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2005,Total population of concern to UNHCR (number),"106,086",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2010,International migrant stock: Both sexes (number),"2,406,011",Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2010,International migrant stock: Both sexes (% total population),8.6,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2010,International migrant stock: Male (% total Population),9.9,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2010,International migrant stock: Female (% total Population),7.1,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2010,Total refugees and people in refugee-like situations (number),"81,516",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2010,"Asylum seekers, including pending cases (number)","11,339",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2010,Other of concern to UNHCR (number),"120,015",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2010,Total population of concern to UNHCR (number),"212,870",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2015,International migrant stock: Both sexes (number),"2,650,617",Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2015,International migrant stock: Both sexes (% total population),8.6,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2015,International migrant stock: Male (% total Population),10.1,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2015,International migrant stock: Female (% total Population),7.1,Including refugees.;Refers to foreign citizens.;Including Sabah and Sarawak.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
458,Malaysia,2015,Total refugees and people in refugee-like situations (number),"97,573",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2015,"Asylum seekers, including pending cases (number)","54,400",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
458,Malaysia,2015,Other of concern to UNHCR (number),"120,000",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
