[T13.],Gross domestic product and gross domestic product per capita,,,,,
412,Kosovo,2016,GDP in current prices (millions of US dollars),"6,714",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2017,GDP in current prices (millions of US dollars),"7,228",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,1995,GDP per capita (US dollars),"2,351",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2005,GDP per capita (US dollars),"2,074",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2010,GDP per capita (US dollars),"3,354",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2015,GDP per capita (US dollars),"3,668",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2016,GDP per capita (US dollars),"3,811",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2017,GDP per capita (US dollars),"4,116",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,1995,GDP in constant 2010 prices (millions of US dollars),"4,213",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2005,GDP in constant 2010 prices (millions of US dollars),"4,536",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2010,GDP in constant 2010 prices (millions of US dollars),"5,830",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2015,GDP in constant 2010 prices (millions of US dollars),"6,819",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2016,GDP in constant 2010 prices (millions of US dollars),"7,096",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2017,GDP in constant 2010 prices (millions of US dollars),"7,396",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,1995,GDP real rates of growth (percent),8.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2005,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2010,GDP real rates of growth (percent),3.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2015,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2016,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
412,Kosovo,2017,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1985,GDP in current prices (millions of US dollars),"21,446",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1995,GDP in current prices (millions of US dollars),"26,554",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2005,GDP in current prices (millions of US dollars),"80,798",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2010,GDP in current prices (millions of US dollars),"115,416",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2015,GDP in current prices (millions of US dollars),"114,586",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2016,GDP in current prices (millions of US dollars),"109,407",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2017,GDP in current prices (millions of US dollars),"119,534",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1985,GDP per capita (US dollars),"12,333",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1995,GDP per capita (US dollars),"16,487",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2005,GDP per capita (US dollars),"35,490",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2010,GDP per capita (US dollars),"38,497",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2015,GDP per capita (US dollars),"29,114",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2016,GDP per capita (US dollars),"26,997",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2017,GDP per capita (US dollars),"28,897",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1985,GDP in constant 2010 prices (millions of US dollars),"42,081",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1995,GDP in constant 2010 prices (millions of US dollars),"65,562",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2005,GDP in constant 2010 prices (millions of US dollars),"108,938",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2010,GDP in constant 2010 prices (millions of US dollars),"115,416",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2015,GDP in constant 2010 prices (millions of US dollars),"137,959",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2016,GDP in constant 2010 prices (millions of US dollars),"141,997",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2017,GDP in constant 2010 prices (millions of US dollars),"137,054",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1985,GDP real rates of growth (percent),-4.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,1995,GDP real rates of growth (percent),1.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
414,Kuwait,2005,GDP real rates of growth (percent),10.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
